C:\Python27\python.exe C:/Users/Tomer/PycharmProjects/GA_Ex1/genetic_train.py
* Pool Size = 150
* Generations = 10000
* Mutation Prob = 0.05
* Crossover by Row
* Elitism is ON
	# Elitism is 10.0%, which means 15 chromosomes

+------------+-----------+------------+-----------+-----------+----------+
| Generation | Gen. Time | Worst Loss | Worst Acc | Best Loss | Best Acc |
+------------+-----------+------------+-----------+-----------+----------+
|    100     | 392.0800s |   2.2297   | 12.8042 % |  2.1449   | 32.7667% |
|    200     | 436.3180s |   1.8380   | 35.6229 % |  1.8108   | 50.5250% |
|    300     | 502.8320s |   1.4790   | 57.3958 % |  1.4416   | 67.1083% |
|    400     | 467.3750s |   1.1432   | 66.9833 % |  1.1027   | 74.8083% |
|    500     | 449.2870s |   0.8804   | 73.8646 % |  0.8390   | 79.1250% |
|    600     | 444.1320s |   0.7510   | 77.3208 % |  0.6891   | 81.3583% |
|    700     | 435.0420s |   0.6513   | 80.2500 % |  0.5895   | 83.9083% |
|    800     | 443.5920s |   0.6163   | 80.2771 % |  0.5368   | 85.0250% |
|    900     | 414.7880s |   0.5557   | 81.6979 % |  0.4897   | 85.7833% |
|    1000    | 445.8780s |   0.5364   | 83.5771 % |  0.4653   | 86.7333% |
|    1100    | 435.4920s |   0.5078   | 83.7812 % |  0.4340   | 87.2500% |
|    1200    | 431.5690s |   0.4876   | 84.7125 % |  0.4220   | 87.7417% |
|    1300    | 442.1910s |   0.5053   | 84.7396 % |  0.4118   | 87.9333% |
|    1400    | 419.3560s |   0.4570   | 85.9667 % |  0.4054   | 88.0167% |
|    1500    | 419.9040s |   0.4528   | 85.7271 % |  0.3987   | 88.3000% |
|    1600    | 391.5140s |   0.4460   | 85.8042 % |  0.3899   | 88.7583% |
|    1700    | 384.4240s |   0.4422   | 86.2458 % |  0.3867   | 88.8167% |
|    1800    | 384.3780s |   0.4416   | 85.9979 % |  0.3848   | 89.0417% |
|    1900    | 388.4520s |   0.4450   | 86.0604 % |  0.3853   | 88.6917% |
|    2000    | 385.6960s |   0.4370   | 86.5271 % |  0.3755   | 88.8500% |
|    2100    | 388.5640s |   0.4122   | 87.2083 % |  0.3744   | 89.1250% |
|    2200    | 387.8760s |   0.4415   | 87.0604 % |  0.3702   | 89.2917% |
|    2300    | 387.3450s |   0.3982   | 87.8000 % |  0.3551   | 89.8583% |
|    2400    | 387.7550s |   0.4120   | 87.4437 % |  0.3700   | 89.4833% |
|    2500    | 386.3430s |   0.3698   | 88.5750 % |  0.3611   | 89.4667% |
|    2600    | 386.3000s |   0.3829   | 88.0667 % |  0.3564   | 89.8333% |
|    2700    | 386.8440s |   0.3799   | 88.2167 % |  0.3489   | 89.5667% |
|    2800    | 387.7840s |   0.3831   | 88.2604 % |  0.3583   | 89.8167% |
|    2900    | 387.3000s |   0.3502   | 89.3563 % |  0.3350   | 90.0333% |
|    3000    | 387.4480s |   0.3606   | 89.0542 % |  0.3372   | 90.2167% |
|    3100    | 386.7680s |   0.3465   | 89.4250 % |  0.3326   | 90.4167% |
|    3200    | 387.4850s |   0.3511   | 89.0896 % |  0.3213   | 90.2917% |
|    3300    | 386.6600s |   0.3487   | 89.1813 % |  0.3272   | 90.3833% |
|    3400    | 388.2050s |   0.3543   | 88.8438 % |  0.3265   | 90.3583% |
|    3500    | 387.9050s |   0.3241   | 90.0708 % |  0.3275   | 90.3750% |
|    3600    | 388.5810s |   0.3300   | 89.7687 % |  0.3248   | 90.3750% |
|    3700    | 388.9130s |   0.3429   | 89.4896 % |  0.3286   | 90.4333% |
|    3800    | 389.3300s |   0.3527   | 88.7750 % |  0.3301   | 90.3833% |
|    3900    | 388.2050s |   0.3486   | 89.1875 % |  0.3282   | 90.4833% |
|    4000    | 388.5170s |   0.3360   | 89.7854 % |  0.3171   | 90.7000% |
|    4100    | 390.0950s |   0.3436   | 89.1833 % |  0.3090   | 90.9500% |
|    4200    | 387.6880s |   0.3059   | 90.6333 % |  0.3080   | 91.0667% |
|    4300    | 388.3150s |   0.3216   | 90.0333 % |  0.3131   | 91.0917% |
|    4400    | 388.2240s |   0.3023   | 90.6437 % |  0.3088   | 90.9667% |
|    4500    | 387.7050s |   0.3250   | 90.0458 % |  0.3074   | 91.1500% |
|    4600    | 389.8150s |   0.3110   | 90.5000 % |  0.3052   | 91.3667% |
|    4700    | 388.8910s |   0.3121   | 90.3792 % |  0.3046   | 91.5333% |
|    4800    | 389.4860s |   0.3038   | 90.5479 % |  0.3046   | 91.5583% |
|    4900    | 390.4070s |   0.3187   | 90.3000 % |  0.3076   | 91.3333% |
|    5000    | 389.2800s |   0.2958   | 91.1000 % |  0.3145   | 91.0583% |
|    5100    | 389.1290s |   0.2924   | 91.0479 % |  0.3124   | 91.2000% |
|    5200    | 392.4370s |   0.2821   | 91.5021 % |  0.3034   | 91.4333% |
|    5300    | 389.2350s |   0.2820   | 91.3771 % |  0.3034   | 91.2583% |
|    5400    | 390.0780s |   0.2887   | 91.0812 % |  0.2993   | 91.5250% |
|    5500    | 391.0490s |   0.2689   | 91.9604 % |  0.2954   | 91.5250% |
|    5600    | 393.4700s |   0.2828   | 91.3958 % |  0.2940   | 91.5000% |
|    5700    | 391.5150s |   0.2751   | 91.5146 % |  0.2989   | 91.5417% |
|    5800    | 389.6540s |   0.2779   | 91.3604 % |  0.2973   | 91.3583% |
|    5900    | 390.9840s |   0.2764   | 91.4917 % |  0.2999   | 91.4167% |
|    6000    | 389.6270s |   0.2753   | 91.5917 % |  0.3038   | 91.3333% |
|    6100    | 389.9710s |   0.2735   | 91.5938 % |  0.2911   | 91.5500% |
|    6200    | 390.4840s |   0.2607   | 91.9583 % |  0.2958   | 91.6167% |
